git_hash=55c2d9c;execution date=20240624_092201;;;
Cluster;Legal;Has Solution;Cluster Size;Max Length;Time;AccumulatedTime
0xa9bdca4a9_0;0;0;0;-1;8.51e-07;345.484
0x2e34ba768_1;0;0;0;-1;4.91e-07;345.487
0x1a84ad703_2;0;0;0;-1;1.693e-06;345.49
0x105c4437ec_2;0;0;0;-1;6.31e-07;345.493
0xda21b5df5_2;0;0;0;-1;8.31e-07;345.495
0xe03db8968_1;0;0;0;-1;1.342e-06;345.497
0xb8cf5cf04_1;0;0;0;-1;9.42e-07;345.5
0xadac535a6_1;0;0;0;-1;6.82e-07;345.502
0x242cf90ee_1;0;0;0;-1;3.31e-07;345.504
0xa0487b2ea_0;0;0;0;-1;5.71e-07;345.506
0xef3b135de_1;1;0;41622;-1;6.90814;352.416
0x115e98c6aa_2;0;0;0;-1;9.22e-07;352.418
0x90187851e_2;0;0;0;-1;4.51e-07;352.421
0x8743a8ef0_1;0;0;0;-1;4.4e-07;352.422
0x4e6b36cab_2;0;0;0;-1;5.94927;358.374
0x1542ddec0_0;0;0;0;-1;1.272e-06;358.376
0x9546b5a26_0;0;0;0;-1;5.41e-07;358.378
0xd012f401e_1;0;0;0;-1;4.51e-07;358.38
0x69ce66fa4_1;0;0;0;-1;4.5e-07;358.381
0x4b89ef52f_2;0;0;0;-1;2.6e-07;358.383
0xdc8f202ea_1;0;0;0;-1;2.8e-07;358.385
0x30b95ad8e_2;1;1;11634;1;71.4478;429.835
0xd64027811_2;0;0;0;-1;1.032e-06;429.837
0x7184b8a7f_0;0;0;0;-1;8.31e-07;429.84
0xe959355eb_1;0;0;0;-1;6.41e-07;429.842
0xc7994330e_0;0;0;0;-1;4.11e-07;429.844
0x712c7f7a7_1;0;0;0;-1;4.11e-07;429.845
0x8c390da55_1;0;0;0;-1;4.71e-07;429.847
0x3c589dcbe_1;0;0;0;-1;5.81e-07;429.849
0x1221af68cf_1;0;0;0;-1;6.92e-07;429.851
0xcedf4a5bb_2;0;0;0;-1;6.71e-07;429.853
0x597b60b65_1;0;0;0;-1;1.333e-06;429.856
0xd9863823f_1;0;0;0;-1;3.91e-07;429.858
0x403d9acac_2;0;0;0;-1;4.51e-07;429.86
0x3a50c28c4_2;0;0;0;-1;4.41e-07;429.861
0x2419ea9b5_0;0;0;0;-1;2.4e-07;429.863
0x61ef4502f_0;0;0;0;-1;2.1e-07;429.865
0xaae049c9_0;0;0;0;-1;1.61097;431.478
0x6a584f030_0;1;1;8498;15;11.8623;443.343
0xcb993f8d_1;0;0;0;-1;8.62e-07;443.345
0x102aeeed4a_1;0;0;0;-1;3.51e-07;443.347
0xc61259650_2;0;0;0;-1;4.3e-07;443.349
0x123a38c806_1;0;0;0;-1;3e-07;443.351
0x693469fac_0;0;0;0;-1;4.61e-07;443.353
0xd5303cd41_2;0;0;0;-1;4.21e-07;443.355
0x60b1c672e_2;0;0;0;-1;4.61e-07;443.357
0xcd8f4aa95_1;0;0;0;-1;9.22e-07;443.359
0xbe502e6a9_0;0;0;0;-1;1.633e-06;443.361
0x2d1989420_1;0;0;0;-1;7.42e-07;443.363
0xb5603e001_0;0;0;0;-1;4.31e-07;443.365
0x9a83f182a_0;0;0;0;-1;5.31e-07;443.367
0xd15b11d4f_1;0;0;0;-1;2.2e-07;443.369
0x668eafe58_1;0;0;0;-1;4.41e-07;443.371
0x8c5917a8f_2;0;0;0;-1;7.01e-07;443.373
0x289fbc12c_2;0;0;0;-1;5.71e-07;443.375
0x1171df9287_0;0;0;0;-1;1.192e-06;443.378
0xaa34f4ee0_2;0;0;0;-1;6.61e-07;443.38
0x2c7845405_1;0;0;0;-1;2.31e-07;443.382
0x28fe7ca16_2;0;0;0;-1;2.7e-07;443.384
0x10c1244a9_2;0;0;0;-1;3.9e-07;443.386
0x15f0f11d6_2;0;0;0;-1;2e-07;443.388
0x427432c37_1;0;0;0;-1;4.31e-07;443.39
0x4ba772ee8_2;0;0;0;-1;7.71e-07;443.393
0x2659f8f66_1;0;0;0;-1;2.2e-07;443.395
0x42cfe5f14_2;0;0;0;-1;2.71e-07;443.396
0x11635548f2_1;0;0;0;-1;2.71e-07;443.398
0x4b6536dcd_0;0;0;0;-1;2.6e-07;443.4
0x1001bf6bdf_1;0;0;0;-1;3.71e-07;443.402
0x1dda31252_0;0;0;0;-1;4.5e-07;443.404
0xdd6b748c7_2;0;0;0;-1;8.52e-07;443.406
0xe6783f034_1;0;0;0;-1;5.61e-07;443.408
0xb6179937d_1;0;0;0;-1;5.81e-07;443.41
0xb0f230944_2;0;0;0;-1;4.01e-07;443.412
0x7853b2b84_2;0;0;0;-1;2.41e-07;443.414
0x4ee04143c_2;0;0;0;-1;4.41e-07;443.416
