git_hash=55c2d9c;execution date=20240625_134721;;;
Cluster;Legal;Has Solution;Cluster Size;Max Length;Time;AccumulatedTime
0xa059ecbff_0;0;0;0;-1;2.91e-07;1425.39
0x11203beab5_1;0;0;0;-1;2.91e-07;1425.39
0x6463fc98_0;1;1;5151;2;9.25896;1434.65
0xd7d0ce82d_0;0;0;0;-1;3.6e-07;1434.65
0xeb939b09_0;0;0;0;-1;4e-07;1434.66
0x10f2e54b05_0;0;0;0;-1;2.71e-07;1434.66
0x38641802e_1;0;0;0;-1;2.81e-07;1434.66
0x375346f4a_0;0;0;0;-1;3.01e-07;1434.66
0x9bcddfcc8_0;0;0;0;-1;2.81e-07;1434.66
0xbe1402077_1;0;0;0;-1;2.6e-07;1434.66
0x8c3bb9225_2;0;0;0;-1;2.5e-07;1434.67
0x515bf50b9_0;1;1;4589;5;233.57;1668.24
0x10a96f11e1_1;0;0;0;-1;7.92e-07;1668.24
0x55771df63_2;0;0;0;-1;2.21e-07;1668.24
0xad77ff45_2;0;0;0;-1;3.7e-07;1668.24
0x6eac85882_2;0;0;0;-1;2.7e-07;1668.25
0x3d11c70c4_0;0;0;0;-1;4e-07;1668.25
0x421dab750_1;0;0;0;-1;1.9e-07;1668.25
0xeb80d6f2a_2;0;0;0;-1;2.8e-07;1668.25
0xb763c780a_2;0;0;0;-1;3.31e-07;1668.25
0xc842e6d25_0;0;0;0;-1;2.91e-07;1668.25
0x7f1683bc4_2;0;0;0;-1;2.91e-07;1668.26
0xcce8d0a8a_0;0;0;0;-1;1.91e-07;1668.26
0xa6ea2ad11_2;0;0;0;-1;4.21e-07;1668.26
0xefd79f53b_2;0;0;0;-1;2e-07;1668.26
0xd95d24f66_1;0;0;0;-1;3.41e-07;1668.26
0x7c0a332b_1;0;0;0;-1;3.31e-07;1668.27
0xdec2f38a6_0;0;0;0;-1;1.9e-07;1668.27
0x17357572f_2;0;0;0;-1;2.91e-07;1668.27
0x49feabaad_0;0;0;0;-1;2.9e-07;1668.27
0x23bf304d9_2;0;0;0;-1;2.4e-07;1668.27
0xfbb53e5a_0;0;0;0;-1;3e-07;1668.27
0x1007c1d6a7_2;0;0;0;-1;1.102e-06;1668.28
0xeb7503bfd_2;0;0;0;-1;4.91e-07;1668.28
0x4f99cb281_0;0;0;0;-1;4.11e-07;1668.28
0xb1598281a_0;0;0;0;-1;8.42e-07;1668.28
0x74139a59b_1;0;0;0;-1;3.31e-07;1668.28
0x105b9ee2d4_2;0;0;0;-1;3e-07;1668.29
0x924c61144_1;0;0;0;-1;2.71e-07;1668.29
0xcd136cfb4_2;0;0;0;-1;2.01e-07;1668.29
0x4b82e22a_1;0;0;0;-1;2.8e-07;1668.29
0x77e823b8b_1;0;0;0;-1;6.61e-07;1668.29
0xdbd0b1c92_0;0;0;0;-1;3.9e-07;1668.29
0xf61f46d87_0;0;0;0;-1;2.61e-07;1668.3
0xd5b8fdaf5_1;0;0;0;-1;3.2e-07;1668.3
0x10af75a60c_1;0;0;0;-1;2.7e-07;1668.3
0xc881b6e3d_1;1;0;4589;-1;9.01e-07;1668.3
0x1039fca56d_1;0;0;0;-1;2.31e-07;1668.3
0xe63d2c134_2;0;0;0;-1;2.91e-07;1668.31
0x570ffa16f_1;0;0;0;-1;5.11e-07;1668.31
0x900419a9e_0;0;0;0;-1;1.9e-07;1668.31
0x47b3188f5_0;0;0;0;-1;3.21e-07;1668.31
0xa39d66d76_2;0;0;0;-1;3.31e-07;1668.31
0x5dc0499b2_2;0;0;0;-1;2.8e-07;1668.31
0xe4cb2ad58_0;0;0;0;-1;2.81e-07;1668.32
0xadd5bfe6f_2;0;0;0;-1;2.51e-07;1668.32
0x975fca519_1;0;0;0;-1;2e-07;1668.32
0x87c2b7a4d_0;1;0;25368;-1;23.8645;1692.19
0xc20b5c821_2;0;0;0;-1;9.12e-07;1692.19
0x933871284_1;0;0;0;-1;1.944e-06;1692.19
0xf98bd868c_2;1;0;25368;-1;8.91e-07;1692.19
0x7266d76ed_2;0;0;0;-1;2e-07;1692.2
0x41336751e_1;0;0;0;-1;3.1e-07;1692.2
0x4a58ff05a_2;0;0;0;-1;2.6e-07;1692.2
0xfb42c3dd4_0;0;0;0;-1;2.8e-07;1692.2
0x11d72a0469_2;0;0;0;-1;3e-07;1692.2
0xb3c06f69_2;0;0;0;-1;4.51e-07;1692.2
0x7acd221df_1;0;0;0;-1;2.9e-07;1692.21
0xf928ae9ac_0;1;1;23226;19;14.9936;1707.2
0x17d58549b_0;0;0;0;-1;7.52e-07;1707.2
0x8d5fd481f_1;0;0;0;-1;2.51e-07;1707.21
0xaec111110_0;0;0;0;-1;2.71e-07;1707.21
0xf266d4cd1_2;0;0;0;-1;2e-07;1707.21
0x11740d2d5c_0;0;0;0;-1;2.81e-07;1707.21
0xc37bd0449_0;0;0;0;-1;3.3e-07;1707.21
0xf35a7dc5e_1;0;0;0;-1;2.01e-07;1707.22
0x73d17ae5b_2;0;0;0;-1;3.1e-07;1707.22
0x5e263f54b_0;0;0;0;-1;3.01e-07;1707.22
0xb2a04ba4c_2;0;0;0;-1;5.11e-07;1707.22
0x11b8287d5e_2;0;0;0;-1;3.41e-07;1707.22
0xefd2fc19a_1;0;0;0;-1;2.8e-07;1707.22
0xf4c7a4931_0;0;0;0;-1;1.8e-07;1707.23
0xbb5ce6f21_1;0;0;0;-1;2.8e-07;1707.23
0x119f834bba_0;0;0;0;-1;3.21e-07;1707.23
0x11dcc24af5_2;0;0;0;-1;3.3e-07;1707.23
0xecc1f87fc_0;0;0;0;-1;2e-07;1707.23
0x1946f9184_0;0;0;0;-1;2.91e-07;1707.23
0x6592b223b_0;0;0;0;-1;6.02e-07;1707.24
0x1c5a27073_0;0;0;0;-1;3.81e-07;1707.24
0xd69b49ee2_1;0;0;0;-1;3.21e-07;1707.24
0x20e626108_2;0;0;0;-1;2.16475;1709.41
0x17cad1967_1;0;0;0;-1;7.31e-07;1709.41
0xcc1d45927_2;0;0;0;-1;2.7e-07;1709.41
0x482a28492_1;0;0;0;-1;3.71e-07;1709.41
0x4009e55e7_1;0;0;0;-1;1.9e-07;1709.42
0xa9ec6542a_0;0;0;0;-1;3.4e-07;1709.42
0xa287baf6c_0;0;0;0;-1;2e-07;1709.42
0x6f7662bde_0;0;0;0;-1;3e-07;1709.42
0xd52649b04_1;0;0;0;-1;2.1e-07;1709.42
0x7d836c855_1;0;0;0;-1;3.61e-07;1709.42
0x2d91c62aa_1;0;0;0;-1;3.41e-07;1709.43
0xbacf5fafc_2;0;0;0;-1;3.31e-07;1709.43
0xb279029fe_1;0;0;0;-1;2.91e-07;1709.43
0xb8e89c2a8_0;0;0;0;-1;3.51e-07;1709.43
0x108e2ad794_2;0;0;0;-1;2.3e-07;1709.43
0x79d58ba8b_0;0;0;0;-1;3.01e-07;1709.44
0xa3b4622bf_0;0;0;0;-1;2e-07;1709.44
0xd593b82db_2;0;0;0;-1;3.11e-07;1709.44
0x45323800e_2;0;0;0;-1;7.42e-07;1709.44
0x4d50fca71_1;0;0;0;-1;3.81e-07;1709.44
0xe4de54533_0;0;0;0;-1;5.31e-07;1709.44
0xc206d4eb4_0;0;0;0;-1;7.42e-07;1709.45
0x9a8260fda_1;0;0;0;-1;2.1e-07;1709.45
0x9c50a54fe_1;0;0;0;-1;2.7e-07;1709.45
0x3d7d336f3_1;0;0;0;-1;3.61e-07;1709.45
0x630677640_2;0;0;0;-1;3.01e-07;1709.45
0xff66c440f_1;0;0;0;-1;3.2e-07;1709.46
0xeb076553e_0;0;0;0;-1;2.91e-07;1709.46
0xc9505c296_2;1;0;36;-1;8.944;1718.4
0x1046cb37c5_0;0;0;0;-1;1.173e-06;1718.41
0x1f8d8a3a_2;0;0;0;-1;2.2e-07;1718.41
0x9db5f0dfe_1;0;0;0;-1;2.81e-07;1718.41
0x3cd52b7fd_1;0;0;0;-1;2.9e-07;1718.41
0x1f6d3f62_0;0;0;0;-1;3.5e-07;1718.41
0x5c501f056_0;0;0;0;-1;2.91e-07;1718.42
0xdded7e572_0;0;0;0;-1;3.31e-07;1718.42
0x8ea6b65fd_2;0;0;0;-1;7.81e-07;1718.42
0x51c8f0267_2;0;0;0;-1;3.01e-07;1718.42
0x1002177791_2;0;0;0;-1;3.21e-07;1718.42
0x3d5a7aba5_2;0;0;0;-1;4.2e-07;1718.42
0x10f109af14_1;0;0;0;-1;4.61e-07;1718.43
0x1d0c61dd9_2;0;0;0;-1;3.4e-07;1718.43
0xc5c3dcd1_2;0;0;0;-1;3.01e-07;1718.43
0x5d8d6acb2_1;0;0;0;-1;2.8e-07;1718.43
0x4cce3c37c_2;0;0;0;-1;7.62e-07;1718.43
0xa42fe0ff_2;0;0;0;-1;5.61e-07;1718.44
0xe5e5e3e6f_1;0;0;0;-1;6.01e-07;1718.44
0x55cac3870_2;0;0;0;-1;4.71e-07;1718.44
0xaabee4c3e_2;0;0;0;-1;2.71e-07;1718.44
0x2ce874b12_2;0;0;0;-1;3.41e-07;1718.44
0xc34390ea1_0;0;0;0;-1;3.71e-07;1718.45
0x447240505_0;0;0;0;-1;5.61e-07;1718.45
0x1040a48b86_2;0;0;0;-1;3.9e-07;1718.45
0xd5983071b_0;0;0;0;-1;5.81e-07;1718.45
0xd947224d8_1;0;0;0;-1;4.71e-07;1718.45
0x11672230b8_0;0;0;0;-1;6.22e-07;1718.45
0xaf0af5a57_0;0;0;0;-1;3.3e-07;1718.46
0x252ffc500_2;0;0;0;-1;4.01e-07;1718.46
0x4ccd88115_0;0;0;0;-1;2e-07;1718.46
0x5dd21c446_2;0;0;0;-1;3.21e-07;1718.46
0x1a15966ac_0;0;0;0;-1;3.61e-07;1718.46
0x95380ae48_2;0;0;0;-1;2.61e-07;1718.46
0xcfc3b1057_0;0;0;0;-1;5.81e-07;1718.47
0x97fbc264a_1;0;0;0;-1;3.11e-07;1718.47
0x11ccc63505_2;0;0;0;-1;3.01e-07;1718.47
0x10e30997a7_1;0;0;0;-1;2.21e-07;1718.47
0xf8c682936_2;0;0;0;-1;2e-07;1718.47
0xba0fd5e90_2;0;0;0;-1;2.9e-07;1718.48
0x34899db31_2;0;0;0;-1;1.7e-07;1718.48
